account,domain,segment,message_variant,personalized_opener,attach_guidance
Dune,dune.com,Onchain analytics/API,Dune Variant,"Dune is one of the clearest examples of onchain data becoming a programmable surface for apps and agents.","No attachment on first touch. If there is interest, follow with the demo GIF and quickstart."
Browserbase,browserbase.com,Agent tooling,Browserbase Variant,"Browserbase is helping agents operate real browser workflows; we are testing the paid financial-data call inside that loop.","No attachment on first touch. Use the GIF on follow-up if they ask to see the flow."
Firecrawl,firecrawl.dev,Agent tooling/web data,Firecrawl Variant,"Firecrawl made web data more usable for agents; we are testing the same pattern for paid financial data.","No attachment on first touch. Add the GIF later if they ask for a product view."
Exa,exa.ai,Agent search/API,Exa Variant,"Exa is built for AI-native search and retrieval; Blocksize is testing how agents pay for high-value financial data inside that research loop.","No attachment on first touch. Demo assets are better in a follow-up."
Coinbase Developer Platform / x402,coinbase.com,Crypto protocol ecosystem,Coinbase/x402 Variant,"We are building a focused x402 seller use case: agent-paid financial market data over HTTP/MCP.","For protocol conversations, mention the GIF and portal in side notes; usually do not attach on first touch."
Circle,circle.com,Stablecoin/payments infrastructure,Protocol Partner Variant,"Circle is already shaping the stablecoin layer for programmable payments, which makes Blocksize's x402 data-seller flow especially relevant.","For protocol/product teams, consider attaching the GIF if the contact is clearly technical."
Kaiko,kaiko.com,Institutional crypto data,Data API Variant,"Kaiko already serves institutional crypto data buyers, which makes per-call agent access a natural monetization test.","No attachment on first touch."
Nansen,nansen.ai,Onchain intelligence/API,Data API Variant,"Nansen sits at the intersection of labeled onchain intelligence and agent-ready workflows, which makes per-request data access interesting here.","No attachment on first touch."
The Graph,thegraph.com,Decentralized data/indexing,Data API Variant,"The Graph is built around queryable indexed data, so agent-paid access is an obvious adjacent monetization pattern.","No attachment on first touch."
Alchemy,alchemy.com,Web3 developer infrastructure,Data API Variant,"Alchemy already has deep API distribution with developers, so this is really a question of whether agent-paid data fits their ecosystem.","No attachment on first touch."
QuickNode,quicknode.com,Web3 infrastructure/API,Data API Variant,"QuickNode knows API monetization and developer distribution already, so the interesting question is whether x402 unlocks machine-native paid calls.","No attachment on first touch."
Flipside,flipsidecrypto.xyz,Onchain analytics,Data API Variant,"Flipside's query-heavy analytics workflows map well to one-off agent-paid data access.","No attachment on first touch."
CoinMetrics,coinmetrics.io,Crypto market/network data,Data API Variant,"CoinMetrics is close to the institutional data buyer, seller, and compliance conversation all at once.","No attachment on first touch."
CoinGecko,coingecko.com,Crypto data/API,Data API Variant,"CoinGecko has broad developer reach, which makes it a strong test for low-friction agent-paid data.","No attachment on first touch."
CoinAPI,coinapi.io,Crypto data/API,Data API Variant,"CoinAPI already serves developers with usage-based financial data, so this is about whether agents should buy one premium response at a time.","No attachment on first touch."
Covalent,covalenthq.com,Blockchain data API,Data API Variant,"Covalent's unified blockchain data model is a good fit for pay-per-query and agent consumption.","No attachment on first touch."
Polygon.io,polygon.io,Market data API,Data API Variant,"Polygon.io already has the API-first market data mindset; this asks whether machine-native paid calls should be easier than account setup.","No attachment on first touch."
Intrinio,intrinio.com,Financial data API,Data API Variant,"Intrinio serves developer-facing financial datasets, which makes premium agent-paid calls a relevant packaging question.","No attachment on first touch."
Twelve Data,twelvedata.com,Market data API,Data API Variant,"Twelve Data's broad market-data API surface makes it a good test for agent-paid usage rather than subscriptions alone.","No attachment on first touch."
Alpha Vantage,alphavantage.co,Financial data API,Data API Variant,"Alpha Vantage has strong long-tail developer usage, so the interesting question is whether an agent can buy one valuable answer at a time.","No attachment on first touch."
Modern Treasury,moderntreasury.com,Payments operations,Core Email,"Modern Treasury understands machine-readable finance workflows, so the value here is really about policy, proof, and auditable paid data access.","No attachment on first touch. If they engage, follow with the GIF or portal."
Plaid,plaid.com,Financial data API,Core Email,"Plaid sits where agents will eventually need account and transaction context, which makes the trust and consent angle especially important.","No attachment on first touch."
Chainalysis,chainalysis.com,Compliance/AML,Core Email,"Chainalysis is a strong fit for the trust side of autonomous finance, where each data call can carry real economic value.","No attachment on first touch."
TRM Labs,trmlabs.com,Compliance/AML,Core Email,"TRM Labs is close to the risk and compliance workflows where agent-paid screening calls could become valuable quickly.","No attachment on first touch."
Skyfire,skyfire.xyz,Agent payments/identity,Protocol Partner Variant,"Skyfire is already close to the agent identity and payment layer, so this is a natural protocol and trust conversation.","For protocol/product teams, mention the GIF and portal in side notes; attach only if the contact is clearly technical."
